"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"RASA3",-0.825507714839382,14.3657543241518,-11.4374443390265,3.09153902662737e-18,6.39040085342578e-17,31.0433347994113,"Down"
"TIMM17B",0.700677987753326,12.6924550799122,11.4304218359837,3.18528036920695e-18,6.57002566378958e-17,31.013650860543,"Up"
"ANAPC11",0.565023271033251,12.3319951157829,11.4296009659796,3.19642289148154e-18,6.5859344190043e-17,31.0101807354383,"Up"
"ZNF528",-0.875509244853599,10.1191249504973,-11.4265203042936,3.23859066111786e-18,6.66566521601782e-17,30.9971570107007,"Down"
"RPTOR",-0.826416137838817,11.7741808043307,-11.4252072827336,3.25673277397299e-18,6.69582863582477e-17,30.991605820789,"Down"
"CNST",-0.565912906530127,11.9972799881408,-11.4215180559887,3.30825598519442e-18,6.79448552766722e-17,30.9760075743643,"Down"
"RAB4B",0.583810204963887,12.2546925348696,11.4183611959336,3.35299463231199e-18,6.87901238507341e-17,30.9626591011089,"Up"
"FAT4",-0.908247495412812,5.41761780228483,-11.4162986625451,3.38255273968655e-18,6.93224762648888e-17,30.9539373325588,"Down"
"DYNC1H1",-0.634948853654698,14.077006949671,-11.4088753309511,3.49112196383961e-18,7.1471231419629e-17,30.9225429454879,"Down"
"NEMP1",-0.916957763554889,11.0189045652675,-11.4069639089979,3.51964022831513e-18,7.19783293975884e-17,30.9144583468482,"Down"
"CDK5RAP2",1.16217739499135,13.6827883267727,11.4045852095559,3.5554576518952e-18,7.26334609461101e-17,30.9043968209486,"Up"
"ROMO1",0.988145928258035,11.1361191180451,11.4013746070623,3.60438349250726e-18,7.35547037264791e-17,30.8908155640485,"Up"
